id,title,primary_area,venue,decision,decision_bucket,accepted_label,review_rating_avg,review_confidence_avg,review_count,author_count,keyword_count,title_chars,abstract_chars,has_code_link,md_present,md_line_count,md_figures,md_tables,md_math_blocks,md_has_broken_table_token,md_path
s6YHno8Ke3,Learning to Learn with Contrastive Meta-Objective,general_machine_learning,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,4,2,49,950,0,0,,,,,,
efOq8wHH9o,MaxSup: Overcoming Representation Collapse in Label Smoothing,deep_learning,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,7,3,61,1401,1,0,,,,,,
uWj4s7rMnR,Mean Flows for One-step Generative Modeling,deep_learning,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,5,1,43,951,0,0,,,,,,
IfD2MKTmWv,Memory Mosaics at scale,deep_learning,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,2,2,23,1141,0,0,,,,,,
oJ84bedrtM,MokA: Multimodal Low-Rank Adaptation for MLLMs,deep_learning,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,4,4,46,1285,0,0,,,,,,
RF3miSqdXa,On Linear Mode Connectivity of Mixture-of-Experts Architectures,theory,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,4,2,63,1647,0,0,,,,,,
kVz9uvqUna,On the Closed-Form of Flow Matching: Generalization Does Not Arise from Target Stochasticity,deep_learning,NeurIPS 2025 oral,,oral,1,,,0,4,3,92,945,0,0,,,,,,
0biUwyjKkm,OpenHOI: Open-World Hand-Object Interaction Synthesis with Multimodal Large Language Model,applications,NeurIPS 2025 oral,,oral,1,,,0,6,1,90,1261,0,0,,,,,,
EoebmBe9fG,Optimal Mistake Bounds for Transductive Online Learning,theory,NeurIPS 2025 oral,,oral,1,,,0,4,1,55,1150,0,0,,,,,,
OzdAnGHEPx,Pan-LUT: Efficient Pan-sharpening via Learnable Look-Up Tables,deep_learning,NeurIPS 2025 oral,,oral,1,,,0,13,2,62,1693,0,0,,,,,,
INqBOmwIpG,Perception Encoder: The best visual embeddings are not at the output of the network,deep_learning,NeurIPS 2025 oral,,oral,1,,,0,18,6,83,1154,1,0,,,,,,
zIzZxDsNNP,PhySense: Sensor Placement Optimization for Accurate Physics Sensing,deep_learning,NeurIPS 2025 oral,,oral,1,,,0,6,3,68,1440,1,0,,,,,,
Gq4Gay8rDB,PlayerOne: Egocentric World Simulator,deep_learning,NeurIPS 2025 oral,,oral,1,,,0,6,3,37,1421,0,0,,,,,,
4xvE6Iy77Y,PRIMT: Preference-based Reinforcement Learning with Multimodal Feedback and Trajectory Synthesis from Foundation Models,reinforcement_learning,NeurIPS 2025 oral,,oral,1,,,0,8,7,119,1340,0,0,,,,,,
ZwCVFBFUFb,QoQ-Med: Building Multimodal Clinical Foundation Models with Domain-Aware GRPO Training,applications,NeurIPS 2025 oral,,oral,1,,,0,4,8,87,1328,0,0,,,,,,
tirl2l9oKg,RAG4GFM: Bridging Knowledge Gaps in Graph Foundation Models through Graph Retrieval Augmented Generation,deep_learning,NeurIPS 2025 oral,,oral,1,,,0,4,4,104,1267,1,0,,,,,,
koEALFNBj1,Representation Entanglement for Generation: Training Diffusion Transformers Is Much Easier Than You Think,deep_learning,NeurIPS 2025 oral,,oral,1,,,0,12,1,105,1696,1,0,,,,,,
XoN10bZtR9,Rethinking Joint Maximum Mean Discrepancy for Visual Domain Adaptation,general_machine_learning,NeurIPS 2025 oral,,oral,1,,,0,7,5,70,1393,0,0,,,,,,
Q6IyUpBmrG,Rethinking Multimodal Learning from the Perspective of Mitigating Classification Ability Disproportion,deep_learning,NeurIPS 2025 oral,,oral,1,,,0,3,1,102,1408,1,0,,,,,,
jRXgRC6fu7,SAGE: A Unified Framework for Generalizable Object State Recognition with State-Action Graph Embedding,applications,NeurIPS 2025 oral,,oral,1,,,0,5,3,102,1117,0,0,,,,,,
zwCb9cKHpd,SAVVY: Spatial Awareness via Audio-Visual LLMs through Seeing and Hearing,applications,NeurIPS 2025 oral,,oral,1,,,0,7,4,73,1463,0,0,,,,,,
F0JzotXYgC,Spectral Perturbation Bounds for Low-Rank Approximation with Applications to Privacy,theory,NeurIPS 2025 oral,,oral,1,,,0,3,5,84,1562,0,0,,,,,,
rtG7n93Ru8,State Entropy Regularization for Robust Reinforcement Learning,reinforcement_learning,NeurIPS 2025 oral,,oral,1,,,0,6,3,62,1014,0,0,,,,,,
knPz7gtjPW,Superposition Yields Robust Neural Scaling,deep_learning,NeurIPS 2025 oral,,oral,1,,,0,3,3,42,1304,0,0,,,,,,
m7MD0sa8Re,Task-Optimized Convolutional Recurrent Networks Align with Tactile Processing in the Rodent Brain,neuroscience_and_cognitive_science,NeurIPS 2025 oral,,oral,1,,,0,4,4,97,1624,0,0,,,,,,
jMhRbV47pS,The emergence of sparse attention: impact of data distribution and benefits of repetition,deep_learning,NeurIPS 2025 oral,,oral,1,,,0,4,4,89,1096,0,0,,,,,,
VYLdKb5dzO,Tighter CMI-Based Generalization Bounds via Stochastic Projection and Quantization,theory,NeurIPS 2025 oral,,oral,1,,,0,3,7,82,1232,0,0,,,,,,
XQ87Vo9GIz,TransferTraj: A Vehicle Trajectory Learning Model for Region and Task Transferability,machine_learning_for_sciences,NeurIPS 2025 oral,,oral,1,,,0,9,3,85,2194,1,0,,,,,,
Q3qAsZAEZw,Understanding and Mitigating Numerical Sources of Nondeterminism in LLM Inference,deep_learning,NeurIPS 2025 oral,,oral,1,,,0,10,4,81,1719,1,0,,,,,,
BSZqpqgqM0,Why Diffusion Models Don’t Memorize:  The Role of Implicit Dynamical Regularization in Training,deep_learning,NeurIPS 2025 oral,,oral,1,,,0,4,3,95,1413,0,0,,,,,,
Due3iZPa6u,$\boldsymbol{\lambda}$-Orthogonality Regularization for Compatible Representation Learning,other,NeurIPS 2025 poster,,poster,1,,,0,5,3,90,1452,1,0,,,,,,
iD2OqoCs4D,$\Delta \mathrm{Energy}$: Optimizing Energy Change During Vision-Language Alignment Improves both OOD Detection and OOD Generalization,applications,NeurIPS 2025 poster,,poster,1,,,0,5,3,134,1704,0,0,,,,,,
qpIRwMubs9,$\epsilon$-Seg: Sparsely Supervised Semantic Segmentation of  Microscopy Data,machine_learning_for_sciences,NeurIPS 2025 poster,,poster,1,,,0,3,4,77,1557,1,0,,,,,,
tAKbMv3sf7,$\mathcal{X}^2$-DFD: A framework for e$\mathcal{X}$plainable and e$\mathcal{X}$tendable Deepfake Detection,social_and_economic_aspects_of_machine_learning,NeurIPS 2025 poster,,poster,1,,,0,6,3,106,1690,1,0,,,,,,
lSLSzYuyfX,$\mu$PC: Scaling Predictive Coding to 100+ Layer Networks,neuroscience_and_cognitive_science,NeurIPS 2025 poster,,poster,1,,,0,3,6,57,1361,0,0,,,,,,
2aIoEG2Hwz,$\textit{HiMaCon:}$ Discovering Hierarchical Manipulation Concepts from Unlabeled Multi-Modal Data,applications,NeurIPS 2025 poster,,poster,1,,,0,7,3,98,1282,0,0,,,,,,
aWWRPyGMie,$\textit{Hyper-GoalNet}$: Goal-Conditioned Manipulation Policy Learning with HyperNetworks,applications,NeurIPS 2025 poster,,poster,1,,,0,5,2,90,1282,0,0,,,,,,
SsHCyEBMLz,$\texttt{BetaConform}$: Efficient MAP Estimation of LLM Ensemble Judgment Performance with Prior Transfer,applications,NeurIPS 2025 poster,,poster,1,,,0,9,3,105,1303,0,0,,,,,,
Lq4nneD2xX,$\texttt{G1}$: Teaching LLMs to Reason on Graphs with Reinforcement Learning,deep_learning,NeurIPS 2025 poster,,poster,1,,,0,5,4,76,1837,1,0,,,,,,
VhGUS8kyaC,$\texttt{STRCMP}$: Integrating Graph Structural Priors with Language Models for Combinatorial Optimization,machine_learning_for_sciences,NeurIPS 2025 poster,,poster,1,,,0,6,3,106,1622,1,0,,,,,,
cldPfIoRiA,$\text{G}^2\text{M}$: A Generalized Gaussian Mirror Method to Boost Feature Selection Power,probabilistic_methods,NeurIPS 2025 poster,,poster,1,,,0,2,3,91,1233,1,0,,,,,,
e8pm93koQU,$\text{S}^2$Q-VDiT: Accurate Quantized Video Diffusion Transformer with Salient Data and Sparse Token Distillation,applications,NeurIPS 2025 poster,,poster,1,,,0,10,2,114,1525,1,0,,,,,,
9q6sNvAaqO,$i$MIND: Insightful Multi-subject Invariant Neural Decoding,neuroscience_and_cognitive_science,NeurIPS 2025 poster,,poster,1,,,0,3,3,59,1756,0,0,,,,,,
YmbQ0qnQ76,$O(\sqrt{T})$ Static Regret and Instance Dependent Constraint Violation for Constrained Online Convex Optimization,general_machine_learning,NeurIPS 2025 poster,,poster,1,,,0,2,2,114,997,0,0,,,,,,
MrRdupucYb,$Q\sharp$: Provably Optimal Distributional RL for LLM Post-Training,reinforcement_learning,NeurIPS 2025 poster,,poster,1,,,0,8,3,67,1336,1,0,,,,,,
YbKdduMtyN,1000+ FPS 4D Gaussian Splatting for Dynamic Scene Rendering,applications,NeurIPS 2025 poster,,poster,1,,,0,4,2,59,1364,0,0,,,,,,
byNNv5Et10,3BASiL: An Algorithmic Framework for Sparse plus Low-Rank Compression of LLMs,optimization,NeurIPS 2025 poster,,poster,1,,,0,3,7,77,1635,1,0,,,,,,
uVxQEIgXfL,3D Gaussian Flats: Hybrid 2D/3D Photometric Scene Reconstruction,applications,NeurIPS 2025 poster,,poster,1,,,0,6,3,64,934,0,0,,,,,,
ewgZItWaHh,3D Gaussian Splatting based Scene-independent Relocalization with Unidirectional and Bidirectional Feature Fusion,applications,NeurIPS 2025 poster,,poster,1,,,0,5,3,113,1435,0,0,,,,,,
oB5GHrsfI4,3D Human Pose Estimation with Muscles,applications,NeurIPS 2025 poster,,poster,1,,,0,4,2,37,1486,0,0,,,,,,
uHGG3s0XyZ,3D Visual Illusion Depth Estimation,applications,NeurIPS 2025 poster,,poster,1,,,0,6,3,35,989,0,0,,,,,,
YGIbwfNWot,3D-Agent: A Tri-Modal Multi-Agent Responsive Framework for Comprehensive 3D Object Annotation,applications,NeurIPS 2025 poster,,poster,1,,,0,5,1,93,1143,0,0,,,,,,
PZ7YLONKiI,3D-GSRD: 3D Molecular Graph Auto-Encoder with Selective Re-mask Decoding,machine_learning_for_sciences,NeurIPS 2025 poster,,poster,1,,,0,9,5,72,1168,1,0,,,,,,
qTUZJUXt0J,3D-Prover: Diversity Driven Theorem Proving With Determinantal Point Processes,deep_learning,NeurIPS 2025 poster,,poster,1,,,0,5,4,78,1343,1,0,,,,,,
n30sfYPrDD,3DID: Direct 3D Inverse Design for Aerodynamics with Physics-Aware Optimization,machine_learning_for_sciences,NeurIPS 2025 poster,,poster,1,,,0,3,2,79,1449,0,0,,,,,,
q5QaTQcUbS,3DLLM-Mem: Long-Term Spatial-Temporal Memory for Embodied 3D Large Language Model,deep_learning,NeurIPS 2025 poster,,poster,1,,,0,10,6,81,1377,0,0,,,,,,
BCpDJWshVV,3DOT: Texture Transfer for 3DGS Objects from a Single Reference Image,applications,NeurIPS 2025 poster,,poster,1,,,0,5,1,69,1639,0,0,,,,,,
Xez853WUqf,3DPE-Gaze:Unlocking the Potential of 3D Facial Priors for Generalized Gaze Estimation,deep_learning,NeurIPS 2025 poster,,poster,1,,,0,3,3,85,1231,0,0,,,,,,
KQuVaVUPL6,3DRS: MLLMs Need 3D-Aware Representation Supervision for Scene Understanding,deep_learning,NeurIPS 2025 poster,,poster,1,,,0,4,2,76,984,0,0,,,,,,
3i53Z6g6j4,4D-LRM: Large Space-Time Reconstruction Model From and To Any View at Any Time,deep_learning,NeurIPS 2025 poster,,poster,1,,,0,13,3,78,1052,0,0,,,,,,
yFjgV3cJje,4D-VLA:  Spatiotemporal Vision-Language-Action Pretraining with Cross-Scene Calibration,deep_learning,NeurIPS 2025 poster,,poster,1,,,0,11,2,87,1521,0,0,,,,,,
FDX7EB9CDv,4D3R: Motion-Aware Neural Reconstruction and Rendering of Dynamic Scenes from Monocular Videos,deep_learning,NeurIPS 2025 poster,,poster,1,,,0,4,4,94,1497,0,0,,,,,,
MbqPKsVe1d,4DGCPro: Efficient Hierarchical 4D Gaussian Compression for Progressive Volumetric Video Streaming,applications,NeurIPS 2025 poster,,poster,1,,,0,10,5,98,1350,0,0,,,,,,
IKxKs3rF9V,4KAgent: Agentic Any Image to 4K Super-Resolution,applications,NeurIPS 2025 poster,,poster,1,,,0,13,4,49,1769,0,0,,,,,,
xdNAVP7TGy,"70% Size, 100% Accuracy: Lossless LLM Compression for Efficient GPU Inference via Dynamic-Length Float (DFloat11)",other,NeurIPS 2025 poster,,poster,1,,,0,7,5,113,1836,0,0,,,,,,
tqoAQMk4AH,\(\varepsilon\)-Optimally Solving Two-Player Zero-Sum POSGs,theory,NeurIPS 2025 poster,,poster,1,,,0,4,4,59,1116,0,0,,,,,,
oo9IrVWcFL,A  Single-Swap Local Search Algorithm for k-Means of Lines,general_machine_learning,NeurIPS 2025 poster,,poster,1,,,0,5,1,58,2151,0,0,,,,,,
qpFAZyMhwz,A Bayesian Approach to Contextual Dynamic Pricing using the Proportional Hazards Model with Discrete Price Data,general_machine_learning,NeurIPS 2025 poster,,poster,1,,,0,3,4,111,1119,0,0,,,,,,
MmjW4VGKbh,A Bayesian Fast-Slow Framework to Mitigate Interference in Non-Stationary Reinforcement Learning,reinforcement_learning,NeurIPS 2025 poster,,poster,1,,,0,2,3,96,1361,0,0,,,,,,
2ym6uVbgMN,A Beyond-Worst-Case Analysis of Greedy k-means++,optimization,NeurIPS 2025 poster,,poster,1,,,0,6,3,48,1058,0,0,,,,,,
19MEprgUub,A Black-Box Debiasing Framework for Conditional Sampling,probabilistic_methods,NeurIPS 2025 poster,,poster,1,,,0,2,4,56,1523,0,0,,,,,,
867TaCMfCj,A Cautionary Tale on Integrating Studies with Disparate Outcome Measures for Causal Inference,probabilistic_methods,NeurIPS 2025 poster,,poster,1,,,0,5,4,93,1896,0,0,,,,,,
WCenI6RU9s,A Circular Argument: Does RoPE need to be Equivariant for Vision?,deep_learning,NeurIPS 2025 poster,,poster,1,,,0,4,5,65,1310,0,0,,,,,,
SkrJkGoMqp,A Closed-Form Solution for Fast and Reliable Adaptive Testing,machine_learning_for_sciences,NeurIPS 2025 poster,,poster,1,,,0,9,5,61,1126,0,0,,,,,,
GDdGGXF4Kg,A Closer Look at NTK Alignment: Linking Phase Transitions in Deep Image Regression,theory,NeurIPS 2025 poster,,poster,1,,,0,3,3,82,1013,0,0,,,,,,
lQYNmlTwtc,A Closer Look at TabPFN v2: Understanding Its Strengths and Extending Its Capabilities,deep_learning,NeurIPS 2025 poster,,poster,1,,,0,3,2,86,1386,0,0,,,,,,
gioV0q55AJ,A Closer Look to Positive-Unlabeled Learning from Fine-grained Perspectives: An Empirical Study,general_machine_learning,NeurIPS 2025 poster,,poster,1,,,0,6,1,95,1368,0,0,,,,,,
cx50h8q0pG,A CLT for Polynomial GNNs on Community-Based Graphs,theory,NeurIPS 2025 poster,,poster,1,,,0,2,6,51,1158,0,0,,,,,,
z6mwI6VcHA,A Compressive-Expressive Communication Framework for Compositional Representations,deep_learning,NeurIPS 2025 poster,,poster,1,,,0,4,5,82,1797,0,0,,,,,,
oVLNtTT2l4,A Computationally Viable Numerical Gradient-based Technique for Optimal Covering Problems,optimization,NeurIPS 2025 poster,,poster,1,,,0,2,4,89,979,0,0,,,,,,
Fnq0M3KEUO,A Counterfactual Semantics for Hybrid Dynamical Systems,probabilistic_methods,NeurIPS 2025 poster,,poster,1,,,0,5,6,55,1346,0,0,,,,,,
47iGNYmTQR,A Cramér–von Mises Approach to Incentivizing Truthful Data Sharing,theory,NeurIPS 2025 poster,,poster,1,,,0,5,3,66,1347,0,0,,,,,,
ayjmOqf79t,A data and task-constrained mechanistic model of the mouse outer retina shows robustness to contrast variations,neuroscience_and_cognitive_science,NeurIPS 2025 poster,,poster,1,,,0,8,5,111,2155,0,0,,,,,,
Bkyl98YQRa,A Data-Driven Prism: Multi-View Source Separation with Diffusion Model Priors,deep_learning,NeurIPS 2025 poster,,poster,1,,,0,3,6,77,1308,0,0,,,,,,
QvsDTpf4yF,A Difference-of-Convex Functions Approach to Energy-Based Iterative Reasoning,optimization,NeurIPS 2025 poster,,poster,1,,,0,3,3,77,1247,0,0,,,,,,
xpVkYQofw9,A Differential and Pointwise Control Approach to Reinforcement Learning,theory,NeurIPS 2025 poster,,poster,1,,,0,2,6,71,1114,0,0,,,,,,
M9JmlA6Cgf,A Diffusion Model for Regular Time Series Generation from Irregular Data with Completion and Masking,deep_learning,NeurIPS 2025 poster,,poster,1,,,0,4,3,100,1307,0,0,,,,,,
0Nq1GvAGR0,A Driving-Style-Adaptive Framework  for Vehicle Trajectory Prediction,deep_learning,NeurIPS 2025 poster,,poster,1,,,0,6,6,69,1126,0,1,1222,18,78,0,1,pdf2md/markdown_output/0Nq1GvAGR0__A Driving-Style-Adaptive Framework for Vehicle Trajectory Prediction/0Nq1GvAGR0__A Driving-Style-Adaptive Framework for Vehicle Trajectory Prediction.md
4DbDJYnX5W,A Dynamic Learning Strategy for Dempster-Shafer Theory with Applications in Classification and Enhancement,theory,NeurIPS 2025 poster,,poster,1,,,0,7,4,106,1165,0,0,,,,,,
pJWozQn9p4,A Fair Federated Learning Method for Handling Client Participation Probability Inconsistencies in Heterogeneous Environments,infrastructure,NeurIPS 2025 poster,,poster,1,,,0,7,3,124,1577,1,0,,,,,,
urDdBuhbLx,"A faster training algorithm for regression trees with linear leaves, and an analysis of its complexity",general_machine_learning,NeurIPS 2025 poster,,poster,1,,,0,2,3,102,1283,0,0,,,,,,
STKDn1LBam,A Few Moments Please: Scalable Graphon Learning via Moment Matching,general_machine_learning,NeurIPS 2025 poster,,poster,1,,,0,5,4,67,1736,0,0,,,,,,
2lNCktd2c3,A Finite Sample Analysis of Distributional TD Learning with Linear Function Approximation,reinforcement_learning,NeurIPS 2025 poster,,poster,1,,,0,4,5,89,1155,0,0,,,,,,
9xXjWwAoUF,A Frustratingly Simple Yet Highly Effective Attack Baseline: Over 90% Success Rate Against the Strong Black-box Models of GPT-4.5/4o/o1,deep_learning,NeurIPS 2025 poster,,poster,1,,,0,5,3,135,2097,1,0,,,,,,
Ag2vRsIIQ7,A General-Purpose Theorem for High-Probability Bounds of Stochastic Approximation with Polyak Averaging,theory,NeurIPS 2025 poster,,poster,1,,,0,2,3,103,870,0,0,,,,,,
utXSSdD9mt,A Generalist Intracortical Motor Decoder,neuroscience_and_cognitive_science,NeurIPS 2025 poster,,poster,1,,,0,23,3,40,929,0,0,,,,,,
